sensor_type,device_type,timestamps,x,y,z
magnetometer,smartphone,269315274500.0,-24.0,-35.6875,-49.5
magnetometer,smartphone,270315274500.0,-13.9375,-31.0625,-42.3125
magnetometer,smartphone,271315274500.0,-13.9375,-30.375,-38.5625
magnetometer,smartphone,272315274500.0,-13.4375,-29.125,-43.125
magnetometer,smartphone,273315274500.0,-11.4375,-33.875,-61.5625
magnetometer,smartphone,274315274500.0,18.0,-35.9375,-51.625
magnetometer,smartphone,275315274500.0,12.625,-30.0,-47.8125
magnetometer,smartphone,276315274500.0,20.75,-21.9375,-43.625
magnetometer,smartphone,277315274500.0,20.4375,-25.375,-41.375
magnetometer,smartphone,278315274500.0,24.25,-18.8125,-41.5625
magnetometer,smartphone,279315274500.0,21.3125,-18.25,-42.5
magnetometer,smartphone,280315274500.0,22.625,-20.375,-40.5
magnetometer,smartphone,281315274500.0,17.9375,-30.3125,-35.9375
magnetometer,smartphone,282315274500.0,18.5,-15.75,-43.0
magnetometer,smartphone,283315274500.0,27.5625,-22.8125,-55.375
magnetometer,smartphone,284315274500.0,21.25,-29.1875,-46.4375
magnetometer,smartphone,285315274500.0,19.1875,-24.4375,-45.0625
magnetometer,smartphone,286315274500.0,20.5,-22.625,-45.6875
magnetometer,smartphone,287315274500.0,20.125,-17.5,-46.6875
magnetometer,smartphone,288315274500.0,17.875,-19.3125,-47.375
magnetometer,smartphone,289315274500.0,9.5,-22.4375,-49.0625
magnetometer,smartphone,290315274500.0,-3.75,-33.0625,-54.8125
magnetometer,smartphone,291315274500.0,5.0625,-30.75,-44.875
magnetometer,smartphone,292315274500.0,8.875,-32.0,-40.75
magnetometer,smartphone,293315274500.0,12.875,-27.5,-36.3125
magnetometer,smartphone,294315274500.0,8.5,-38.8125,-34.0625
magnetometer,smartphone,295315274500.0,5.3125,-34.9375,-38.4375
magnetometer,smartphone,296315274500.0,3.5,-31.8125,-38.5625
magnetometer,smartphone,297315274500.0,2.25,-37.0,-32.625
magnetometer,smartphone,298315274500.0,4.0625,-36.5625,-30.75
magnetometer,smartphone,299315274500.0,4.5,-31.5625,-33.125
magnetometer,smartphone,300315274500.0,4.125,-39.5,-32.3125
magnetometer,smartphone,301315274500.0,5.375,-40.4375,-32.6875
magnetometer,smartphone,302315274500.0,8.75,-39.0,-34.1875
magnetometer,smartphone,303315274500.0,6.875,-41.5625,-30.8125
magnetometer,smartphone,304315274500.0,5.6875,-42.75,-27.1875
magnetometer,smartphone,305315274500.0,5.75,-43.5,-26.6875
magnetometer,smartphone,306315274500.0,8.0,-42.4375,-29.25
magnetometer,smartphone,307315274500.0,10.125,-46.0,-24.0625
magnetometer,smartphone,308315274500.0,12.875,-37.25,-34.875
magnetometer,smartphone,309315274500.0,6.6875,-38.0625,-34.5625
magnetometer,smartphone,310315274500.0,9.875,-37.75,-33.1875
magnetometer,smartphone,311315274500.0,10.0,-38.75,-33.4375
magnetometer,smartphone,312315274500.0,14.0625,-38.375,-31.5625
magnetometer,smartphone,313315274500.0,16.6875,-33.375,-30.625
magnetometer,smartphone,314315274500.0,17.0,-38.6875,-28.9375
magnetometer,smartphone,315315274500.0,14.25,-39.3125,-29.5
magnetometer,smartphone,316315274500.0,14.75,-41.375,-28.125
magnetometer,smartphone,317315274500.0,14.4375,-38.5625,-30.8125
magnetometer,smartphone,318315274500.0,13.5625,-38.6875,-32.0625
magnetometer,smartphone,319315274500.0,14.375,-36.25,-34.75
magnetometer,smartphone,320315274500.0,12.625,-38.25,-33.3125
magnetometer,smartphone,321315274500.0,14.75,-33.1875,-37.8125
magnetometer,smartphone,322315274500.0,14.6875,-32.875,-38.3125
magnetometer,smartphone,323315274500.0,12.0625,-37.25,-34.5625
magnetometer,smartphone,324315274500.0,13.3125,-37.25,-34.75
magnetometer,smartphone,325315274500.0,20.75,-26.625,-40.9375
magnetometer,smartphone,326315274500.0,25.125,-23.0625,-41.125
magnetometer,smartphone,327315274500.0,25.5,-17.4375,-43.1875
magnetometer,smartphone,328315274500.0,24.25,-17.875,-44.1875
magnetometer,smartphone,329315274500.0,22.9375,-14.3125,-45.625
magnetometer,smartphone,330315274500.0,21.5625,-16.0,-43.5
magnetometer,smartphone,331315274500.0,19.25,-17.3125,-46.25
magnetometer,smartphone,332315274500.0,12.0,-33.75,-39.0625
magnetometer,smartphone,333315274500.0,19.25,-25.125,-42.9375
magnetometer,smartphone,334315274500.0,25.125,-12.625,-45.0625
magnetometer,smartphone,335315274500.0,21.625,-15.3125,-46.0
magnetometer,smartphone,336315274500.0,19.25,-16.0,-46.875
magnetometer,smartphone,337315274500.0,17.0,-17.875,-47.875
magnetometer,smartphone,338315274500.0,16.4375,-18.5,-46.75
magnetometer,smartphone,339315274500.0,19.0625,-17.5625,-46.4375
magnetometer,smartphone,340315274500.0,18.4375,-19.75,-45.375
magnetometer,smartphone,341315274500.0,18.5,-20.4375,-45.3125
magnetometer,smartphone,342315274500.0,17.5,-21.25,-45.3125
magnetometer,smartphone,343315274500.0,18.8125,-22.125,-44.4375
magnetometer,smartphone,344315274500.0,20.5,-20.6875,-44.0625
magnetometer,smartphone,345315274500.0,19.125,-26.9375,-40.4375
magnetometer,smartphone,346315274500.0,12.3125,-41.3125,-29.25
magnetometer,smartphone,347315274500.0,17.9375,-27.875,-41.25
magnetometer,smartphone,348315274500.0,18.1875,-23.75,-43.625
magnetometer,smartphone,349315274500.0,17.25,-23.25,-44.8125
magnetometer,smartphone,350315274500.0,11.375,-28.1875,-42.5625
magnetometer,smartphone,351315274500.0,13.25,-36.6875,-28.25
magnetometer,smartphone,352315274500.0,16.6875,-30.4375,-38.9375
magnetometer,smartphone,353315274500.0,17.25,-27.4375,-41.9375
magnetometer,smartphone,354315274500.0,19.875,-27.5625,-41.0625
magnetometer,smartphone,355315274500.0,17.375,-28.6875,-41.6875
magnetometer,smartphone,356315274500.0,15.5,-27.9375,-42.1875
magnetometer,smartphone,357315274500.0,15.3125,-27.875,-42.9375
magnetometer,smartphone,358315274500.0,13.875,-28.6875,-43.125
magnetometer,smartphone,359315274500.0,9.5,-35.3125,-37.9375
magnetometer,smartphone,360315274500.0,13.875,-28.875,-42.0625
magnetometer,smartphone,361315274500.0,17.0,-28.5625,-41.3125
magnetometer,smartphone,362315274500.0,17.875,-26.0625,-42.6875
magnetometer,smartphone,363315274500.0,17.0625,-26.375,-42.0
magnetometer,smartphone,364315274500.0,15.5,-26.5625,-41.9375
magnetometer,smartphone,365315274500.0,13.8125,-28.25,-39.5625
magnetometer,smartphone,366315274500.0,11.875,-40.875,-27.8125
magnetometer,smartphone,367315274500.0,15.125,-38.375,-29.75
