"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
1.578306498E0;-2.669687033E0;1.977917671E0;9.007644653E-1
1.588306498E0;-2.519779682E0;1.995889187E0;1.381659508E0
1.598304640E0;-2.640543938E0;2.108851433E0;1.439260006E0
1.608304706E0;-1.674145699E0;1.457465768E0;2.668642521E0
1.618304706E0;-1.487179279E0;1.131334305E0;3.184303284E0
1.628304706E0;-2.154541254E0;1.319005966E0;3.351158619E0
1.637859261E0;-2.211006880E0;1.385083318E0;3.381128788E0
1.647015787E0;-2.255485296E0;1.434871078E0;3.405973434E0
1.663042787E0;-2.432656050E0;1.482755065E0;3.262321472E0
1.673042787E0;-2.766364336E0;1.500998735E0;2.958069801E0
1.683041787E0;-3.030704498E0;1.545893669E0;2.753277779E0
1.693041787E0;-3.174612522E0;1.656249285E0;2.667627335E0
1.703041787E0;-3.303478956E0;1.758488536E0;2.542432308E0
1.713041537E0;-3.528446436E0;1.849403143E0;2.404036045E0
1.723041337E0;-3.600508690E0;1.951735139E0;2.327916622E0
1.733041170E0;-3.607576370E0;1.971871257E0;2.382165432E0
1.743041170E0;-3.419963598E0;1.924850225E0;2.580763340E0
1.753039545E0;-3.172706127E0;1.929623365E0;2.628214836E0
1.753139545E0;-2.929319143E0;1.834549308E0;2.605565071E0
1.763136845E0;-2.948202372E0;1.865748286E0;2.616227627E0
1.773136845E0;-2.828439713E0;1.753549218E0;2.671082497E0
1.783136761E0;-2.797966003E0;1.672125459E0;2.703552246E0
1.793136684E0;-2.751120090E0;1.557046533E0;2.400007725E0
1.802563326E0;-2.760353088E0;1.571188807E0;2.405683041E0
1.811494859E0;-2.762518406E0;1.577347636E0;2.406608105E0
1.827521859E0;-2.762518406E0;1.577347636E0;2.406608105E0
1.837520859E0;-2.938236713E0;1.610535860E0;2.106544495E0
1.847520859E0;-3.112139940E0;1.727391243E0;1.438096046E0
1.855508359E0;-3.077209234E0;1.698667049E0;1.413213730E0
1.861502692E0;-3.055904627E0;1.681392670E0;1.398182392E0
1.869006942E0;-3.060693026E0;1.695758104E0;1.295231342E0
1.877006942E0;-2.989818811E0;1.781050563E0;9.565801620E-1
1.885340275E0;-2.906845808E0;1.815274239E0;7.721743584E-1
1.893911703E0;-2.840287447E0;1.892682910E0;5.282230377E-1
1.902661828E0;-2.674863338E0;1.954329967E0;4.273567200E-1
1.911550716E0;-2.461677313E0;1.922612906E0;4.340634346E-1
1.920552616E0;-2.268664598E0;1.778973818E0;4.766936302E-1
1.929645070E0;-2.085758686E0;1.708786964E0;6.393280029E-1
1.938811736E0;-2.069204807E0;1.763478160E0;7.795114517E-1
1.948042505E0;-2.071938038E0;1.816862702E0;9.389052391E-1
1.957328219E0;-2.046988487E0;1.784377098E0;1.016400814E0
1.966659819E0;-2.030777454E0;1.773989201E0;1.005658627E0
1.976034881E0;-1.671843052E0;1.265846252E0;1.764308453E0
1.985446645E0;-1.479329586E0;1.133444071E0;1.961465359E0
1.994891145E0;-1.441688061E0;9.989762306E-1;2.017789841E0
2.004364881E0;-1.416225433E0;9.918156862E-1;1.999680042E0
2.013864881E0;-1.556715488E0;9.061940908E-1;1.659192085E0
2.023388690E0;-1.665453434E0;9.283633232E-1;1.363183975E0
2.032933553E0;-1.753705025E0;9.509792328E-1;1.166251659E0
2.042149944E0;-1.705622196E0;9.346573353E-1;1.134023666E0
2.051065527E0;-1.654264927E0;9.166729450E-1;1.100207329E0
2.067092527E0;-1.795522690E0;1.038777113E0;7.817792892E-1
2.077091527E0;-1.815083742E0;1.125174761E0;5.042595863E-1
