,acc_phone_x,acc_phone_y,acc_phone_z,lin_acc_phone_x,lin_acc_phone_y,lin_acc_phone_z,mag_phone_x,mag_phone_y,mag_phone_z,labelCycling,labelStairs,labelWalking,labelSitting,labelOther
1970-01-01 00:00:36.261252605,-2.068590164,1.493981838,8.743624687,0.153399989,0.9257999659,-0.2225999981,30.0,-17.0,-40.3125,0,0,0,0,0
1970-01-01 00:00:36.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:36.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:37.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:37.261252605,-1.302445769,4.711789131000001,7.948749542000001,-1.647199988,-0.01009999961,-0.386500001,24.0625,-40.25,-24.375,0,0,0,0,0
1970-01-01 00:00:37.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:37.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:38.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:38.261252605,-0.2298433632,7.316680431,7.469909191,-0.2744999826,0.4415999949,0.3517999947,22.0625,-42.25,-21.5625,0,0,0,0,0
1970-01-01 00:00:38.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:38.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:39.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:39.261252605,0.6895300745999999,5.171475887,7.000645638,-1.110999942,-1.042699933,-0.0903000012,16.0,-39.0625,-28.75,0,0,0,0,0
1970-01-01 00:00:39.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:39.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:40.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:40.261252605,0.07661445438999999,2.56658411,3.974374771,2.753499985,-1.551199913,-3.792699814,26.375,-36.1875,-47.0625,0,0,0,0,0
1970-01-01 00:00:40.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:40.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:41.011252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:41.261252605,-3.754108191,3.639186621,7.000645638,-0.7930999994,0.3798999786,-1.5296999219999998,23.125,-28.5,-42.9375,0,0,0,0,0
1970-01-01 00:00:41.511252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:41.761252605,,,,,,,,,,0,0,0,0,0
1970-01-01 00:00:42.011252605,,,,,,,,,,0,0,0,0,0
