"Time (s)"	"Illuminance (lx)"
1.546205278E3	9.700000000E1
1.547205278E3	9.700000000E1
1.548205278E3	9.700000000E1
1.549205278E3	9.700000000E1
1.550205278E3	9.700000000E1
1.551205278E3	9.700000000E1
1.552205278E3	9.700000000E1
1.553205278E3	9.700000000E1
1.554205278E3	9.700000000E1
1.555205278E3	9.700000000E1
1.556205278E3	9.400000000E1
1.557205278E3	9.400000000E1
1.558205278E3	9.700000000E1
1.559205278E3	9.700000000E1
1.560205278E3	9.700000000E1
1.561205278E3	9.700000000E1
1.562205278E3	9.700000000E1
1.563205278E3	9.400000000E1
1.564205278E3	9.400000000E1
1.565205278E3	9.400000000E1
1.566205278E3	9.400000000E1
1.567205278E3	9.400000000E1
1.568205278E3	9.400000000E1
1.569205278E3	9.400000000E1
1.570205278E3	9.400000000E1
1.571205278E3	9.400000000E1
1.572205278E3	9.400000000E1
1.573205278E3	9.100000000E1
1.574205278E3	8.800000000E1
1.575205278E3	8.800000000E1
1.576205278E3	8.400000000E1
1.577205278E3	8.100000000E1
1.578205278E3	8.400000000E1
1.579205278E3	8.100000000E1
1.580205278E3	8.400000000E1
1.581205278E3	8.400000000E1
1.582205278E3	8.400000000E1
1.583205278E3	8.400000000E1
1.584205278E3	8.400000000E1
1.585205278E3	8.400000000E1
1.586205278E3	9.400000000E1
1.587205278E3	7.200000000E1
1.588205278E3	8.100000000E1
1.589205278E3	7.800000000E1
1.590205278E3	7.200000000E1
1.591205278E3	8.100000000E1
1.592205278E3	8.800000000E1
1.593205278E3	9.400000000E1
1.594205278E3	9.400000000E1
1.595205278E3	9.400000000E1
1.596205278E3	9.400000000E1
1.597205278E3	9.400000000E1
1.598205278E3	9.400000000E1
1.599205278E3	9.400000000E1
1.600205278E3	9.400000000E1
1.601205278E3	9.400000000E1
1.602205278E3	9.400000000E1
1.603205278E3	9.400000000E1
1.604205278E3	9.400000000E1
1.605205278E3	9.400000000E1
1.606205278E3	9.400000000E1
1.607205278E3	9.400000000E1
1.608205278E3	9.400000000E1
1.609205278E3	9.400000000E1
1.610205278E3	9.400000000E1
1.611205278E3	9.700000000E1
1.612205278E3	9.700000000E1
1.613205278E3	9.400000000E1
1.614205278E3	9.700000000E1
1.615205278E3	9.700000000E1
1.616205278E3	9.400000000E1
1.617205278E3	9.400000000E1
1.618205278E3	9.400000000E1
1.619205278E3	9.400000000E1
1.620205278E3	9.400000000E1
1.621205278E3	9.400000000E1
1.622205278E3	9.400000000E1
1.623205278E3	9.400000000E1
1.624205278E3	9.100000000E1
1.625205278E3	9.100000000E1
1.626205278E3	9.400000000E1
1.627205278E3	9.400000000E1
1.628205278E3	9.400000000E1
1.629205278E3	9.400000000E1
1.630205278E3	9.400000000E1
1.631205278E3	9.400000000E1
1.632205278E3	9.400000000E1
1.633205278E3	9.400000000E1
1.634205278E3	9.700000000E1
1.635205278E3	9.700000000E1
1.636205278E3	9.700000000E1
1.637205278E3	9.700000000E1
1.638205278E3	9.700000000E1
1.639205278E3	9.700000000E1
1.640205278E3	9.700000000E1
1.641205278E3	9.400000000E1
1.642205278E3	9.700000000E1
1.643205278E3	9.700000000E1
1.644205278E3	9.700000000E1
1.645205278E3	9.700000000E1
1.646205278E3	9.700000000E1
1.647205278E3	9.700000000E1
1.648205278E3	9.700000000E1
1.649205278E3	9.700000000E1
1.650205278E3	9.700000000E1
1.651205278E3	9.700000000E1
1.652205278E3	9.100000000E1
1.653205278E3	9.700000000E1
1.654205278E3	9.700000000E1
1.655205278E3	9.700000000E1
1.656205278E3	9.700000000E1
1.657205278E3	9.700000000E1
1.658205278E3	9.700000000E1
1.659205278E3	9.700000000E1
1.660205278E3	9.700000000E1
1.661205278E3	9.700000000E1
1.662205278E3	9.700000000E1
1.663205278E3	9.700000000E1
1.664205278E3	9.700000000E1
1.665205278E3	9.700000000E1
1.666205278E3	9.700000000E1
1.667205278E3	9.700000000E1
1.668205278E3	9.700000000E1
1.669205278E3	9.700000000E1
1.670205278E3	9.700000000E1
1.671205278E3	9.700000000E1
1.672205278E3	9.700000000E1
1.673205278E3	9.700000000E1
1.674205278E3	9.700000000E1
1.675205278E3	9.700000000E1
1.676205278E3	9.700000000E1
1.677205278E3	9.700000000E1
1.678205278E3	9.700000000E1
1.679205278E3	9.700000000E1
1.680205278E3	9.700000000E1
1.681205278E3	9.700000000E1
1.682205278E3	9.700000000E1
1.683205278E3	9.700000000E1
1.684205278E3	9.700000000E1
1.685205278E3	9.700000000E1
1.686205278E3	9.700000000E1
1.687205278E3	9.700000000E1
1.688205278E3	9.700000000E1
1.689205278E3	9.700000000E1
1.690205278E3	9.700000000E1
1.691205278E3	9.700000000E1
1.692205278E3	9.700000000E1
1.693205278E3	9.700000000E1
1.694205278E3	9.700000000E1
1.695205278E3	9.700000000E1
1.696205278E3	9.700000000E1
1.697205278E3	9.700000000E1
1.698205278E3	9.700000000E1
1.699205278E3	9.700000000E1
1.700205278E3	9.700000000E1
1.701205278E3	9.700000000E1
1.702205278E3	9.700000000E1
1.703205278E3	9.700000000E1
1.704205278E3	9.700000000E1
1.705205278E3	9.700000000E1
1.706205278E3	9.700000000E1
1.707205278E3	9.700000000E1
1.708205278E3	9.700000000E1
1.709205278E3	9.700000000E1
1.710205278E3	9.700000000E1
1.711205278E3	9.700000000E1
1.712205278E3	9.700000000E1
1.713205278E3	9.700000000E1
1.714205278E3	9.700000000E1
1.715205278E3	9.700000000E1
1.716205278E3	9.700000000E1
1.717205278E3	9.700000000E1
1.718205278E3	9.700000000E1
1.719205278E3	9.700000000E1
