"Time (s)"	"Latitude (°)"	"Longitude (°)"	"Height (m)"	"Velocity (m/s)"	"Direction (°)"	"Horizontal Accuracy (m)"	"Vertical Accuracy (m)"
1.515106448E2	5.235189464E1	4.902997036E0	1.248469172E1	6.038480759E0	1.705943756E2	1.265254211E1	0.000000000E0
1.525149781E2	5.235183711E1	4.903015825E0	1.215191335E1	5.669324398E0	1.651378326E2	1.289934826E1	0.000000000E0
1.535154031E2	5.235178925E1	4.903036537E0	1.216365284E1	5.133977890E0	1.622275238E2	1.465964508E1	0.000000000E0
1.545433219E2	5.235174388E1	4.903053539E0	1.227066010E1	4.827952385E0	1.636836853E2	1.397415066E1	0.000000000E0
1.555162245E2	5.235169650E1	4.903068887E0	1.229151877E1	5.216269493E0	1.671079559E2	1.412666607E1	0.000000000E0
1.565165854E2	5.235164658E1	4.903089318E0	1.223911038E1	5.709554195E0	1.635532837E2	1.404749012E1	0.000000000E0
1.575182156E2	5.235159647E1	4.903110869E0	1.214189460E1	5.377623081E0	1.623995209E2	1.430929852E1	0.000000000E0
1.585188870E2	5.235154415E1	4.903135269E0	1.210873628E1	5.457406044E0	1.630804138E2	1.597406006E1	0.000000000E0
1.595106453E2	5.235149262E1	4.903170493E0	1.209690304E1	5.720881939E0	1.612168274E2	1.172128010E1	0.000000000E0
1.605161156E2	5.235144259E1	4.903201955E0	1.198357760E1	6.014229298E0	1.640825806E2	8.930248260E0	0.000000000E0
1.615143422E2	5.235139230E1	4.903229404E0	1.190377541E1	5.647137642E0	1.632990723E2	1.084489155E1	0.000000000E0
1.625232510E2	5.235134600E1	4.903252855E0	1.188713698E1	4.966824055E0	1.622948303E2	1.191616154E1	0.000000000E0
1.635350896E2	5.235129743E1	4.903271017E0	1.168035016E1	5.283485889E0	1.677366791E2	1.195895576E1	0.000000000E0
1.645154260E2	5.235124663E1	4.903290769E0	1.142771417E1	5.589585781E0	1.646197205E2	1.309020233E1	0.000000000E0
1.655454666E2	5.235119566E1	4.903313087E0	1.125156645E1	5.496754646E0	1.659836273E2	1.244628811E1	0.000000000E0
1.665123630E2	5.235114824E1	4.903333941E0	1.105813606E1	5.128037453E0	1.639274292E2	1.391838455E1	0.000000000E0
1.675144797E2	5.235109896E1	4.903352357E0	1.080556994E1	5.488670349E0	1.657611389E2	1.320301151E1	0.000000000E0
1.685205682E2	5.235105038E1	4.903368879E0	1.076154304E1	5.564844131E0	1.667487793E2	1.366340733E1	0.000000000E0
1.695165890E2	5.235099928E1	4.903380238E0	1.079446882E1	5.520958900E0	1.664779663E2	1.484525299E1	0.000000000E0
1.705157338E2	5.235095081E1	4.903395889E0	1.097857906E1	5.453580379E0	1.670637665E2	1.262211418E1	0.000000000E0
1.715107515E2	5.235090105E1	4.903407451E0	1.111744994E1	5.222033501E0	1.673581390E2	1.313462067E1	0.000000000E0
1.725417411E2	5.235085341E1	4.903415886E0	1.117338769E1	5.012689114E0	1.686104279E2	1.317305279E1	0.000000000E0
1.735092140E2	5.235080465E1	4.903426723E0	1.125980845E1	5.257353306E0	1.688238831E2	1.374515915E1	0.000000000E0
1.745135995E2	5.235075523E1	4.903437873E0	1.142232055E1	5.293442249E0	1.677167358E2	1.314658165E1	0.000000000E0
