"Time (s)"	"Acceleration x (m/s^2)"	"Acceleration y (m/s^2)"	"Acceleration z (m/s^2)"
1.162300290E3	-4.060565948E0	2.719813108E0	4.453215122E0
1.163300290E3	-3.907337189E0	1.034295082E0	1.081221485E1
1.164300290E3	-6.895300746E-1	8.810662031E-1	4.932055473E0
1.165300290E3	-2.987963676E0	2.681505978E-1	1.129105568E1
1.166300290E3	-3.141192675E0	1.034295082E0	8.743624687E0
1.167300290E3	-7.661445439E-2	2.681505978E-1	7.632715225E0
1.168300290E3	-2.068590164E0	1.149216816E-1	9.385271072E0
1.169300290E3	-4.213795185E0	1.647210717E0	9.069235802E0
1.170300290E3	-2.834734917E0	-4.979939461E-1	1.145386124E1
1.171300290E3	9.959878922E-1	-4.788403511E0	7.469909191E0
1.172300290E3	-1.608903527E0	-4.328716755E0	9.385271072E0
1.173300290E3	-2.375048161E0	-1.417367458E0	8.427590370E0
1.174300290E3	-3.447650433E0	1.034295082E0	9.538499832E0
1.175300290E3	-2.068590164E0	-1.877054095E0	1.208592987E1
1.176300290E3	-3.754108191E0	-2.489969730E0	8.111555099E0
1.177300290E3	-2.834734917E0	-4.979939461E-1	4.932055473E0
1.178300290E3	-4.367023945E0	-2.030282974E0	1.018014526E1
1.179300290E3	-3.141192675E0	-4.979939461E-1	9.701305389E0
1.180300290E3	-4.520252705E0	-2.643198729E0	8.274360657E0
1.181300290E3	-2.298433632E-1	5.631162167E0	9.069235802E0
1.182300290E3	1.762132406E0	6.090848923E0	8.743624687E0
1.183300290E3	-6.358999729E0	4.865017891E0	6.042964935E0
1.184300290E3	4.520252705E0	1.187524080E0	8.590395927E0
1.185300290E3	-5.363011956E-1	4.213795066E-1	1.049618053E1
1.186300290E3	-2.298433632E-1	-3.447650373E-1	1.065898609E1
1.187300290E3	2.834734917E0	4.213795066E-1	1.463336086E1
1.188300290E3	-9.959878922E-1	-3.447650373E-1	9.222464561E0
1.189300290E3	8.427590132E-1	2.681505978E-1	8.590395927E0
1.190300290E3	-8.427590132E-1	-9.576807022E-1	9.069235802E0
1.191300290E3	7.661445439E-2	5.746083856E-1	9.864110947E0
1.192300290E3	7.661445439E-2	-1.110909581E0	1.065898609E1
1.193300290E3	-7.661445439E-2	2.681505978E-1	1.097502041E1
1.194300290E3	-1.455674648E0	7.278373241E-1	9.701305389E0
1.195300290E3	-1.302445769E0	4.213795066E-1	9.069235802E0
1.196300290E3	-1.455674648E0	1.149216816E-1	9.222464561E0
1.197300290E3	8.427590132E-1	-4.979939461E-1	1.049618053E1
1.198300290E3	-1.302445769E0	1.800439715E0	1.034295177E1
1.199300290E3	1.455674648E0	6.090848923E0	5.401319027E0
1.200300290E3	-1.302445769E0	3.639186621E0	8.274360657E0
1.201300290E3	7.661445439E-2	2.413355350E0	7.469909191E0
1.202300290E3	7.661445439E-2	4.252102375E0	1.081221485E1
