"Time (s)"	"Magnetic field x (µT)"	"Magnetic field y (µT)"	"Magnetic field z (µT)"
3.973152745E2	1.343750000E1	-3.856250000E1	-3.250000000E1
3.983152745E2	1.175000000E1	-3.775000000E1	-3.312500000E1
3.993152745E2	-1.750000000E0	-3.543750000E1	-3.825000000E1
4.003152745E2	3.750000000E-1	-3.875000000E1	-3.600000000E1
4.013152745E2	3.812500000E0	-4.275000000E1	-2.912500000E1
4.023152745E2	5.812500000E0	-3.906250000E1	-3.300000000E1
4.033152745E2	1.000000000E0	-3.837500000E1	-3.412500000E1
4.043152745E2	3.187500000E0	-3.575000000E1	-3.675000000E1
4.053152745E2	3.562500000E0	-3.537500000E1	-3.643750000E1
4.063152745E2	1.312500000E0	-3.575000000E1	-3.387500000E1
4.073152745E2	6.000000000E0	-4.137500000E1	-2.625000000E1
4.083152745E2	6.312500000E0	-3.975000000E1	-3.106250000E1
4.093152745E2	7.250000000E0	-3.968750000E1	-3.262500000E1
4.103152745E2	6.062500000E0	-3.700000000E1	-3.406250000E1
4.113152745E2	4.500000000E0	-3.681250000E1	-3.487500000E1
4.123152745E2	-1.250000000E0	-3.281250000E1	-3.606250000E1
4.133152745E2	6.937500000E0	-4.031250000E1	-2.918750000E1
4.143152745E2	1.062500000E1	-4.168750000E1	-2.350000000E1
4.153152745E2	9.812500000E0	-3.462500000E1	-3.300000000E1
4.163152745E2	8.875000000E0	-3.687500000E1	-3.437500000E1
4.173152745E2	9.500000000E0	-4.043750000E1	-3.018750000E1
4.183152745E2	1.156250000E1	-4.000000000E1	-2.825000000E1
4.193152745E2	9.062500000E0	-3.812500000E1	-3.331250000E1
4.203152745E2	8.187500000E0	-3.412500000E1	-3.693750000E1
4.213152745E2	5.437500000E0	-3.275000000E1	-3.731250000E1
4.223152745E2	4.125000000E0	-3.512500000E1	-3.787500000E1
4.233152745E2	6.750000000E0	-3.118750000E1	-4.031250000E1
4.243152745E2	1.062500000E1	-2.843750000E1	-4.225000000E1
4.253152745E2	9.875000000E0	-2.600000000E1	-4.387500000E1
4.263152745E2	7.312500000E0	-2.868750000E1	-4.043750000E1
4.273152745E2	9.125000000E0	-2.912500000E1	-4.200000000E1
4.283152745E2	8.000000000E0	-2.818750000E1	-4.250000000E1
4.293152745E2	8.250000000E0	-2.762500000E1	-4.187500000E1
4.303152745E2	9.437500000E0	-2.918750000E1	-4.112500000E1
4.313152745E2	7.875000000E0	-2.750000000E1	-4.287500000E1
4.323152745E2	7.312500000E0	-2.912500000E1	-4.200000000E1
4.333152745E2	8.812500000E0	-2.900000000E1	-4.231250000E1
4.343152745E2	8.750000000E0	-2.975000000E1	-4.112500000E1
4.353152745E2	1.062500000E1	-3.087500000E1	-4.031250000E1
4.363152745E2	1.293750000E1	-2.906250000E1	-4.062500000E1
4.373152745E2	9.750000000E0	-3.656250000E1	-3.500000000E1
4.383152745E2	8.187500000E0	-3.481250000E1	-3.643750000E1
4.393152745E2	1.137500000E1	-3.306250000E1	-3.793750000E1
4.403152745E2	1.450000000E1	-2.975000000E1	-3.975000000E1
4.413152745E2	1.450000000E1	-2.900000000E1	-3.887500000E1
4.423152745E2	1.393750000E1	-2.850000000E1	-3.937500000E1
4.433152745E2	1.093750000E1	-2.975000000E1	-4.068750000E1
4.443152745E2	7.625000000E0	-3.343750000E1	-4.075000000E1
4.453152745E2	1.062500000E1	-3.350000000E1	-3.825000000E1
4.463152745E2	9.687500000E0	-3.312500000E1	-3.768750000E1
4.473152745E2	6.375000000E0	-3.431250000E1	-3.787500000E1
4.483152745E2	7.687500000E0	-3.312500000E1	-3.812500000E1
