"Time (s)"	"Linear Acceleration x (m/s^2)"	"Linear Acceleration y (m/s^2)"	"Linear Acceleration z (m/s^2)"
1.813102682E2	1.180499911E0	-4.727999866E-1	-1.261500001E0
1.823102682E2	6.539999694E-2	1.446999907E-1	-4.100999832E-1
1.833102682E2	-7.530000061E-2	3.303999901E-1	-1.636600018E0
1.843102682E2	-1.197000027E0	-1.239999942E-2	7.328000069E-1
1.853102682E2	5.633000135E-1	2.044999897E-1	8.677999973E-1
1.863102682E2	1.935999990E-1	8.009999990E-2	-4.127999842E-1
1.873102682E2	-9.044999480E-1	-3.019999899E-2	2.050899982E0
1.883102682E2	-1.263099909E0	1.917999983E-1	2.531000078E-1
1.893102682E2	8.876000047E-1	-2.563000023E-1	1.782299995E0
1.903102682E2	6.164999604E-1	-5.728999972E-1	-3.249999881E-2
1.913102682E2	9.283999801E-1	5.342000127E-1	1.006299973E0
1.923102682E2	-7.405999899E-1	2.563999891E-1	2.748999894E-1
1.933102682E2	-1.148199916E0	-3.070000000E-2	1.561999917E-1
1.943102682E2	6.794999838E-1	2.884999812E-1	-1.918099999E0
1.953102682E2	-3.783999979E-1	7.430999875E-1	1.350099921E0
1.963102682E2	-3.449999914E-2	-8.339999616E-2	3.346000016E-1
1.973102682E2	7.662999630E-1	-8.299999684E-2	-1.947899938E0
1.983102682E2	9.017999768E-1	-4.837999940E-1	-4.845999777E-1
1.993102682E2	7.094999552E-1	2.769999802E-1	5.856999755E-1
2.003102682E2	9.648000002E-1	-5.351999998E-1	6.663999557E-1
2.013102682E2	-7.768999934E-1	1.239999942E-2	2.012599945E0
2.023102682E2	-3.807999790E-1	-4.524999857E-1	6.568099976E0
2.033102682E2	-6.179999933E-2	5.285999775E-1	1.375100017E0
2.043102682E2	7.404999733E-1	-4.741999805E-1	1.125299931E0
2.053102682E2	7.173999548E-1	-1.147099972E0	-2.523000002E0
2.063102682E2	2.719999850E-2	-7.035999894E-1	1.209999993E-2
2.073102682E2	1.036299944E0	-1.273999959E-1	2.014999866E0
2.083102682E2	-1.205099940E0	7.969999909E-1	3.452499866E0
2.093102682E2	-1.349900007E0	1.135399938E0	4.871999919E-1
2.103102682E2	-6.068999767E-1	1.160699964E0	-3.413800001E0
