Date,Oxygen saturation(%),Time REM(hr),Time asleep(hr),Time awake(hr),Time core(hr),Time deep(hr),Time in bed(hr)
2022-12-05 07:15:35 - 2022-12-05 07:46:35,,,0.517,,,,
2022-12-05 12:23:57,0.990,,,,,,
2022-12-05 12:54:17,0.890,,,,,,
2022-12-05 13:32:46,0.990,,,,,,
2022-12-05 14:52:36,0.980,,,,,,
2022-12-06 00:10:26 - 2022-12-06 00:39:36,,,,,,,0.486
2022-12-06 00:40:50 - 2022-12-06 00:54:43,,,,,,,0.231
2022-12-06 00:55:18 - 2022-12-06 01:19:08,,,,,,,0.397
2022-12-06 01:13:51,0.950,,,,,,
2022-12-06 02:11:47,0.960,,,,,,
2022-12-06 02:24:31 - 2022-12-06 07:00:02,,,,,,,4.592
2022-12-06 02:37:24 - 2022-12-06 10:19:54,,,7.708,,,,
2022-12-06 02:41:48,0.970,,,,,,
2022-12-06 03:11:48,0.960,,,,,,
2022-12-06 04:11:49,0.950,,,,,,
2022-12-06 04:41:50,0.930,,,,,,
2022-12-06 08:43:08,0.940,,,,,,
2022-12-06 10:01:03,0.930,,,,,,
2022-12-06 11:17:37,0.970,,,,,,
2022-12-06 21:39:44,1.000,,,,,,
2022-12-07 00:17:34 - 2022-12-07 01:04:37,,,,,,,0.784
2022-12-07 01:04:40 - 2022-12-07 01:04:41,,,,,,,0.000
2022-12-07 01:05:12 - 2022-12-07 07:00:01,,,,,,,5.914
