Date,Environmental sound levels(dBASPL),Headphone sound levels(dBASPL),Oxygen saturation(%)
2023-06-03 21:28:34 - 2023-06-03 21:58:32,57.759,,
2023-06-03 21:58:32 - 2023-06-03 22:28:32,68.830,,
2023-06-03 22:28:32 - 2023-06-03 22:58:32,63.885,,
2023-06-03 22:58:32 - 2023-06-03 23:28:32,56.108,,
2023-06-03 23:28:32 - 2023-06-03 23:58:29,63.042,,
2023-06-03 23:58:29 - 2023-06-04 00:28:24,62.823,,
2023-06-04 00:28:24 - 2023-06-04 00:58:19,72.376,,
2023-06-04 00:58:19 - 2023-06-04 01:28:14,55.804,,
2023-06-04 01:13:56,,,0.930
2023-06-04 01:28:14 - 2023-06-04 01:58:09,35.640,,
2023-06-04 01:48:49,,,0.990
2023-06-04 01:58:09 - 2023-06-04 02:28:04,37.922,,
2023-06-04 02:18:49,,,0.890
2023-06-04 02:28:04 - 2023-06-04 02:58:04,45.019,,
2023-06-04 02:58:04 - 2023-06-04 03:28:04,44.402,,
2023-06-04 03:06:25,,,0.920
2023-06-04 03:28:04 - 2023-06-04 03:57:59,32.922,,
2023-06-04 03:57:59 - 2023-06-04 04:27:54,33.715,,
2023-06-04 04:27:54 - 2023-06-04 04:57:54,34.295,,
2023-06-04 04:57:54 - 2023-06-04 05:27:54,40.232,,
2023-06-04 05:27:54 - 2023-06-04 05:57:54,40.324,,
2023-06-04 05:47:13,,,0.930
2023-06-04 05:57:54 - 2023-06-04 06:27:54,49.900,,
2023-06-04 06:27:54 - 2023-06-04 06:57:54,60.509,,
2023-06-04 06:57:54 - 2023-06-04 07:27:54,32.883,,
2023-06-04 06:58:16,,,0.880
2023-06-04 07:27:54 - 2023-06-04 07:57:50,44.749,,
2023-06-04 07:57:50 - 2023-06-04 08:27:50,44.426,,
2023-06-04 08:10:24,,,0.980
2023-06-04 08:27:50 - 2023-06-04 08:57:50,49.065,,
2023-06-04 08:40:25,,,0.990
2023-06-04 08:57:50 - 2023-06-04 09:27:47,65.471,,
2023-06-04 09:27:47 - 2023-06-04 09:57:44,66.433,,
2023-06-04 09:57:44 - 2023-06-04 10:27:39,73.463,,
2023-06-04 10:27:39 - 2023-06-04 10:57:34,65.243,,
2023-06-04 10:57:34 - 2023-06-04 11:27:34,71.555,,
2023-06-04 11:27:34 - 2023-06-04 11:57:29,72.452,,
2023-06-04 11:57:29 - 2023-06-04 12:27:24,66.123,,
2023-06-04 12:27:24 - 2023-06-04 12:57:19,72.182,,
2023-06-04 12:57:19 - 2023-06-04 13:27:14,73.208,,
2023-06-04 13:27:14 - 2023-06-04 13:57:09,74.995,,
2023-06-04 13:57:09 - 2023-06-04 14:27:04,68.067,,
2023-06-04 14:27:04 - 2023-06-04 14:41:14,64.280,,
